UniqueCount	AmbigCount
19	0
6	0
452	0
0	0
24	0
916	0
113	0
528	0
309	0
2316	0
402	0
1	0
866	0
125	0
83	0
7	0
11	0
30	0
141	0
0	0
1217	0
140	0
301	0
6417	0
1276	0
36	0
472	0
610	0
89	0
921	0
347	0
2184	0
76	0
243	0
438	0
0	0
27	0
